,Element,Wavelength,n,k
85,Ag2,0.6299,0.05876,4.126
86,Ag2,0.6399,0.05966,4.205
87,Ag2,0.6499,0.06061,4.283
88,Ag2,0.6599,0.06159,4.361
89,Ag2,0.6699,0.06262,4.438
90,Ag2,0.6799,0.06368,4.516
91,Ag2,0.6899,0.06478,4.593
92,Ag2,0.6999,0.06591,4.669
93,Ag2,0.7099,0.06708,4.746
94,Ag2,0.7199,0.06829,4.823
95,Ag2,0.7299,0.06953,4.899
96,Ag2,0.7399,0.0708,4.975
97,Ag2,0.7499,0.0721,5.051
98,Ag2,0.7599,0.07344,5.126
99,Ag2,0.7699,0.0748,5.202
100,Ag2,0.7799,0.0762,5.278
101,Ag2,0.7899,0.07762,5.353
102,Ag2,0.7999,0.07908,5.428
103,Ag2,0.8099,0.08057,5.503
104,Ag2,0.8199,0.08208,5.578
105,Ag2,0.8299,0.08362,5.653
106,Ag2,0.8399,0.08519,5.728
107,Ag2,0.8499,0.08679,5.802
108,Ag2,0.8599,0.08841,5.877
109,Ag2,0.8699,0.09007,5.951
110,Ag2,0.8799,0.09174,6.026
111,Ag2,0.8899,0.09345,6.1
112,Ag2,0.8999,0.09518,6.174
113,Ag2,0.9099,0.09694,6.248
114,Ag2,0.9199,0.09872,6.322
115,Ag2,0.9299,0.1005,6.396
116,Ag2,0.9399,0.1024,6.47
117,Ag2,0.9499,0.1042,6.544
118,Ag2,0.9599,0.1061,6.618
119,Ag2,0.9698,0.108,6.691
120,Ag2,0.9799,0.11,6.765
121,Ag2,0.9899,0.1119,6.838
122,Ag2,0.9999,0.1139,6.912
123,Ag2,1.01,0.1159,6.985
124,Ag2,1.02,0.1179,7.059
125,Ag2,1.03,0.12,7.132
126,Ag2,1.04,0.1221,7.206
127,Ag2,1.05,0.1242,7.279
128,Ag2,1.06,0.1263,7.352
129,Ag2,1.07,0.1285,7.425
130,Ag2,1.08,0.1306,7.498
131,Ag2,1.09,0.1328,7.571
132,Ag2,1.1,0.1351,7.645
133,Ag2,1.11,0.1373,7.718
134,Ag2,1.12,0.1396,7.791
135,Ag2,1.13,0.1419,7.863
136,Ag2,1.14,0.1442,7.936
137,Ag2,1.15,0.1465,8.009
138,Ag2,1.16,0.1489,8.082
139,Ag2,1.17,0.1513,8.155
140,Ag2,1.18,0.1537,8.228
141,Ag2,1.19,0.1561,8.3
142,Ag2,1.2,0.1585,8.373
143,Ag2,1.21,0.161,8.446
144,Ag2,1.22,0.1635,8.518
145,Ag2,1.23,0.166,8.591
146,Ag2,1.24,0.1686,8.664
147,Ag2,1.25,0.1711,8.736
148,Ag2,1.26,0.1737,8.809
149,Ag2,1.268,0.1759,8.869
150,Ag2,1.27,0.1763,8.881
151,Ag2,1.278,0.1785,8.942
152,Ag2,1.28,0.179,8.954
153,Ag2,1.288,0.1812,9.015
154,Ag2,1.29,0.1816,9.026
155,Ag2,1.299,0.184,9.09
156,Ag2,1.3,0.1843,9.099
157,Ag2,1.309,0.1868,9.166
158,Ag2,1.31,0.187,9.171
159,Ag2,1.32,0.1897,9.243
160,Ag2,1.328,0.1919,9.302
161,Ag2,1.33,0.1924,9.316
162,Ag2,1.339,0.1949,9.381
163,Ag2,1.34,0.1952,9.388
164,Ag2,1.347,0.1973,9.442
165,Ag2,1.35,0.198,9.46
166,Ag2,1.359,0.2004,9.524
167,Ag2,1.367,0.2029,9.586
168,Ag2,1.379,0.2062,9.67
169,Ag2,1.388,0.2087,9.734
170,Ag2,1.4,0.2122,9.82
171,Ag2,1.409,0.2148,9.886
172,Ag2,1.418,0.2176,9.953
173,Ag2,1.427,0.2203,10.02
174,Ag2,1.43,0.221,10.04
175,Ag2,1.437,0.2231,10.09
176,Ag2,1.44,0.224,10.11
177,Ag2,1.45,0.227,10.18
178,Ag2,1.46,0.2301,10.26
179,Ag2,1.469,0.233,10.32
180,Ag2,1.47,0.2331,10.33
181,Ag2,1.48,0.2362,10.4
182,Ag2,1.49,0.2393,10.47
183,Ag2,1.497,0.2414,10.52
184,Ag2,1.5,0.2424,10.54
185,Ag2,1.507,0.2446,10.6
186,Ag2,1.51,0.2455,10.62
187,Ag2,1.518,0.248,10.67
188,Ag2,1.52,0.2487,10.69
189,Ag2,1.528,0.2514,10.75
190,Ag2,1.53,0.2518,10.76
191,Ag2,1.539,0.2549,10.83
192,Ag2,1.54,0.255,10.83
193,Ag2,1.547,0.2572,10.88
194,Ag2,1.55,0.2582,10.9
195,Ag2,1.558,0.2608,10.96
196,Ag2,1.56,0.2615,10.98
197,Ag2,1.569,0.2645,11.04
198,Ag2,1.57,0.2647,11.05
199,Ag2,1.577,0.267,11.1
200,Ag2,1.58,0.268,11.12
201,Ag2,1.588,0.2708,11.18
202,Ag2,1.59,0.2713,11.19
203,Ag2,1.596,0.2734,11.24
204,Ag2,1.6,0.2747,11.26
205,Ag2,1.608,0.2774,11.32
206,Ag2,1.61,0.278,11.34
207,Ag2,1.616,0.2801,11.38
208,Ag2,1.62,0.2814,11.41
209,Ag2,1.628,0.2842,11.47
210,Ag2,1.63,0.2848,11.48
211,Ag2,1.636,0.287,11.53
212,Ag2,1.64,0.2882,11.55
213,Ag2,1.649,0.2913,11.62
214,Ag2,1.65,0.2916,11.62
215,Ag2,1.657,0.2942,11.68
216,Ag2,1.66,0.2951,11.69
217,Ag2,1.666,0.2972,11.74
218,Ag2,1.67,0.2985,11.77
219,Ag2,1.679,0.3017,11.83
220,Ag2,1.68,0.302,11.84
221,Ag2,1.688,0.3048,11.89
222,Ag2,1.69,0.3056,11.91
223,Ag2,1.696,0.3079,11.96
224,Ag2,1.7,0.3091,11.98
225,Ag2,1.705,0.3111,12.02
226,Ag2,1.71,0.3127,12.05
227,Ag2,1.719,0.3159,12.12
228,Ag2,1.72,0.3162,12.13
229,Ag2,1.728,0.3192,12.18
230,Ag2,1.73,0.3198,12.2
231,Ag2,1.737,0.3226,12.25
232,Ag2,1.74,0.3235,12.27
233,Ag2,1.747,0.326,12.32
234,Ag2,1.75,0.3271,12.34
235,Ag2,1.756,0.3295,12.39
236,Ag2,1.76,0.3308,12.41
237,Ag2,1.766,0.333,12.46
238,Ag2,1.77,0.3345,12.48
239,Ag2,1.775,0.3366,12.52
240,Ag2,1.78,0.3382,12.56
241,Ag2,1.785,0.3402,12.59
242,Ag2,1.79,0.3419,12.63
243,Ag2,1.795,0.3439,12.67
244,Ag2,1.8,0.3457,12.7
245,Ag2,1.805,0.3477,12.74
246,Ag2,1.81,0.3494,12.77
247,Ag2,1.815,0.3515,12.81
248,Ag2,1.82,0.3532,12.84
249,Ag2,1.825,0.3554,12.88
250,Ag2,1.83,0.357,12.91
251,Ag2,1.836,0.3593,12.96
252,Ag2,1.84,0.3609,12.99
253,Ag2,1.846,0.3634,13.03
254,Ag2,1.85,0.3647,13.06
255,Ag2,1.857,0.3675,13.11
256,Ag2,1.86,0.3686,13.13
257,Ag2,1.868,0.3716,13.18
258,Ag2,1.87,0.3725,13.2
259,Ag2,1.878,0.3759,13.26
260,Ag2,1.88,0.3764,13.27
261,Ag2,1.889,0.3802,13.34
262,Ag2,1.89,0.3804,13.34
263,Ag2,1.895,0.3824,13.38
264,Ag2,1.9,0.3843,13.42
265,Ag2,1.906,0.3868,13.46
266,Ag2,1.91,0.3883,13.49
267,Ag2,1.917,0.3913,13.54
268,Ag2,1.92,0.3923,13.56
269,Ag2,1.929,0.3959,13.62
270,Ag2,1.93,0.3964,13.63
271,Ag2,1.934,0.3982,13.66
272,Ag2,1.94,0.4004,13.7
273,Ag2,1.946,0.403,13.75
274,Ag2,1.95,0.4045,13.77
275,Ag2,1.958,0.4078,13.83
276,Ag2,1.96,0.4086,13.84
277,Ag2,1.97,0.4127,13.92
278,Ag2,1.976,0.4151,13.96
279,Ag2,1.98,0.4168,13.99
280,Ag2,1.988,0.4202,14.05
281,Ag2,1.99,0.421,14.06
282,Ag2,1.994,0.4227,14.09
283,Ag2,2.006,0.4279,14.18
284,Ag2,2.019,0.4331,14.27
285,Ag2,2.025,0.4358,14.31
286,Ag2,2.038,0.4412,14.4
287,Ag2,2.044,0.444,14.45
288,Ag2,2.057,0.4495,14.54
289,Ag2,2.064,0.4524,14.59
290,Ag2,2.077,0.4581,14.68
291,Ag2,2.084,0.461,14.73
292,Ag2,2.097,0.4669,14.83
293,Ag2,2.104,0.4699,14.88
294,Ag2,2.118,0.476,14.97
295,Ag2,2.125,0.4791,15.02
296,Ag2,2.139,0.4853,15.12
297,Ag2,2.146,0.4885,15.17
298,Ag2,2.153,0.4917,15.23
299,Ag2,2.167,0.4982,15.33
300,Ag2,2.175,0.5015,15.38
301,Ag2,2.189,0.5082,15.48
302,Ag2,2.197,0.5116,15.54
303,Ag2,2.204,0.5151,15.59
304,Ag2,2.219,0.5221,15.7
305,Ag2,2.227,0.5256,15.75
306,Ag2,2.235,0.5292,15.81
307,Ag2,2.242,0.5328,15.86
308,Ag2,2.258,0.5402,15.97
309,Ag2,2.266,0.5439,16.03
310,Ag2,2.274,0.5477,16.09
311,Ag2,2.282,0.5515,16.14
312,Ag2,2.298,0.5593,16.26
313,Ag2,2.306,0.5632,16.32
314,Ag2,2.314,0.5672,16.38
315,Ag2,2.323,0.5712,16.44
316,Ag2,2.339,0.5794,16.56
317,Ag2,2.348,0.5835,16.62
318,Ag2,2.356,0.5877,16.68
319,Ag2,2.365,0.592,16.74
320,Ag2,2.374,0.5963,16.8
321,Ag2,2.382,0.6006,16.86
322,Ag2,2.391,0.605,16.92
323,Ag2,2.409,0.6139,17.05
324,Ag2,2.418,0.6185,17.12
325,Ag2,2.427,0.6231,17.18
326,Ag2,2.436,0.6277,17.24
327,Ag2,2.445,0.6324,17.31
328,Ag2,2.455,0.6372,17.38
329,Ag2,2.464,0.642,17.44
330,Ag2,2.473,0.6468,17.51
331,Ag2,2.483,0.6517,17.58
332,Ag2,2.492,0.6567,17.65
333,Ag2,2.502,0.6617,17.71
334,Ag2,2.512,0.6668,17.78
335,Ag2,2.522,0.672,17.85
336,Ag2,2.531,0.6772,17.92
337,Ag2,2.541,0.6824,17.99
338,Ag2,2.551,0.6878,18.06
339,Ag2,2.561,0.6931,18.14
340,Ag2,2.572,0.6986,18.21
341,Ag2,2.582,0.7041,18.28
342,Ag2,2.592,0.7097,18.35
343,Ag2,2.603,0.7154,18.43
344,Ag2,2.613,0.7211,18.5
345,Ag2,2.624,0.7269,18.58
346,Ag2,2.634,0.7327,18.65
347,Ag2,2.645,0.7387,18.73
348,Ag2,2.656,0.7447,18.81
349,Ag2,2.667,0.7508,18.89
350,Ag2,2.678,0.7569,18.96
351,Ag2,2.689,0.7631,19.04
352,Ag2,2.7,0.7695,19.12
353,Ag2,2.711,0.7758,19.2
354,Ag2,2.723,0.7823,19.28
355,Ag2,2.734,0.7889,19.36
356,Ag2,2.746,0.7955,19.45
357,Ag2,2.758,0.8022,19.53
358,Ag2,2.769,0.809,19.61
359,Ag2,2.781,0.8159,19.7
360,Ag2,2.793,0.8229,19.78
361,Ag2,2.805,0.83,19.87
362,Ag2,2.817,0.8371,19.96
363,Ag2,2.83,0.8444,20.04
364,Ag2,2.842,0.8517,20.13
365,Ag2,2.855,0.8592,20.22
366,Ag2,2.867,0.8667,20.31
367,Ag2,2.88,0.8744,20.4
368,Ag2,2.893,0.8821,20.49
369,Ag2,2.906,0.89,20.58
370,Ag2,2.919,0.8979,20.68
371,Ag2,2.932,0.906,20.77
372,Ag2,2.946,0.9142,20.86
373,Ag2,2.959,0.9225,20.96
374,Ag2,2.973,0.9309,21.06
375,Ag2,2.986,0.9394,21.15
376,Ag2,3.014,0.9568,21.35
377,Ag2,3.028,0.9657,21.45
378,Ag2,3.042,0.9747,21.55
379,Ag2,3.057,0.9838,21.65
380,Ag2,3.071,0.9931,21.75
381,Ag2,3.086,1.003,21.86
382,Ag2,3.101,1.012,21.96
383,Ag2,3.116,1.022,22.07
384,Ag2,3.131,1.031,22.17
385,Ag2,3.146,1.041,22.28
386,Ag2,3.161,1.052,22.39
387,Ag2,3.177,1.062,22.5
388,Ag2,3.192,1.072,22.61
389,Ag2,3.208,1.083,22.72
390,Ag2,3.224,1.093,22.84
391,Ag2,3.24,1.104,22.95
392,Ag2,3.256,1.115,23.07
393,Ag2,3.273,1.126,23.18
394,Ag2,3.289,1.138,23.3
395,Ag2,3.306,1.149,23.42
396,Ag2,3.323,1.161,23.54
397,Ag2,3.34,1.173,23.66
398,Ag2,3.358,1.185,23.78
399,Ag2,3.375,1.197,23.9
400,Ag2,3.393,1.21,24.03
401,Ag2,3.411,1.222,24.16
402,Ag2,3.429,1.235,24.28
403,Ag2,3.447,1.248,24.41
404,Ag2,3.465,1.262,24.54
405,Ag2,3.484,1.275,24.67
406,Ag2,3.503,1.289,24.81
407,Ag2,3.522,1.303,24.94
408,Ag2,3.541,1.317,25.08
409,Ag2,3.561,1.331,25.21
410,Ag2,3.58,1.346,25.35
411,Ag2,3.6,1.361,25.49
412,Ag2,3.62,1.376,25.63
413,Ag2,3.641,1.391,25.78
414,Ag2,3.661,1.407,25.92
415,Ag2,3.682,1.422,26.07
416,Ag2,3.703,1.439,26.22
417,Ag2,3.724,1.455,26.37
418,Ag2,3.746,1.472,26.52
419,Ag2,3.768,1.489,26.67
420,Ag2,3.79,1.506,26.83
421,Ag2,3.812,1.524,26.98
422,Ag2,3.834,1.541,27.14
423,Ag2,3.857,1.56,27.3
424,Ag2,3.88,1.578,27.47
425,Ag2,3.904,1.597,27.63
426,Ag2,3.927,1.616,27.8
427,Ag2,3.951,1.636,27.97
428,Ag2,3.976,1.656,28.14
429,Ag2,4.025,1.697,28.48
430,Ag2,4.05,1.718,28.66
431,Ag2,4.076,1.739,28.84
432,Ag2,4.101,1.761,29.02
433,Ag2,4.128,1.783,29.2
434,Ag2,4.154,1.806,29.39
435,Ag2,4.181,1.829,29.58
436,Ag2,4.208,1.853,29.77
437,Ag2,4.235,1.877,29.96
438,Ag2,4.263,1.901,30.16
439,Ag2,4.292,1.926,30.35
440,Ag2,4.32,1.951,30.56
441,Ag2,4.349,1.977,30.76
442,Ag2,4.379,2.004,30.96
443,Ag2,4.408,2.031,31.17
444,Ag2,4.439,2.059,31.38
445,Ag2,4.469,2.087,31.6
446,Ag2,4.5,2.115,31.82
447,Ag2,4.532,2.145,32.04
448,Ag2,4.564,2.175,32.26
449,Ag2,4.596,2.205,32.49
450,Ag2,4.629,2.236,32.72
451,Ag2,4.662,2.268,32.95
452,Ag2,4.696,2.301,33.18
453,Ag2,4.73,2.334,33.42
454,Ag2,4.765,2.368,33.67
455,Ag2,4.8,2.403,33.91
456,Ag2,4.836,2.438,34.16
457,Ag2,4.872,2.474,34.42
458,Ag2,4.909,2.512,34.67
459,Ag2,4.947,2.55,34.93
460,Ag2,4.985,2.588,35.2
461,Ag2,5.023,2.628,35.47
462,Ag2,5.063,2.669,35.74
463,Ag2,5.103,2.71,36.02
464,Ag2,5.143,2.753,36.3
465,Ag2,5.184,2.796,36.59
466,Ag2,5.226,2.841,36.88
467,Ag2,5.269,2.886,37.17
468,Ag2,5.312,2.933,37.47
469,Ag2,5.356,2.981,37.78
470,Ag2,5.4,3.03,38.09
471,Ag2,5.446,3.08,38.4
472,Ag2,5.492,3.132,38.72
473,Ag2,5.539,3.185,39.05
474,Ag2,5.586,3.239,39.38
475,Ag2,5.635,3.294,39.71
476,Ag2,5.684,3.351,40.05
477,Ag2,5.735,3.41,40.4
478,Ag2,5.786,3.47,40.76
479,Ag2,5.838,3.532,41.12
480,Ag2,5.891,3.595,41.48
481,Ag2,5.945,3.66,41.85
482,Ag2,6.056,3.795,42.62
483,Ag2,6.114,3.865,43.01
484,Ag2,6.172,3.938,43.41
485,Ag2,6.231,4.012,43.82
486,Ag2,6.292,4.089,44.24
487,Ag2,6.353,4.168,44.66
488,Ag2,6.416,4.249,45.09
489,Ag2,6.48,4.332,45.53
490,Ag2,6.546,4.418,45.98
491,Ag2,6.612,4.507,46.44
492,Ag2,6.681,4.598,46.9
493,Ag2,6.75,4.692,47.38
494,Ag2,6.821,4.788,47.86
495,Ag2,6.894,4.888,48.36
496,Ag2,6.968,4.991,48.86
497,Ag2,7.044,5.097,49.38
498,Ag2,7.121,5.207,49.9
499,Ag2,7.2,5.32,50.44
500,Ag2,7.281,5.437,50.99
501,Ag2,7.364,5.557,51.55
502,Ag2,7.449,5.682,52.12
503,Ag2,7.535,5.811,52.71
504,Ag2,7.624,5.944,53.31
505,Ag2,7.715,6.082,53.92
506,Ag2,7.808,6.225,54.54
507,Ag2,7.903,6.373,55.18
508,Ag2,8.001,6.526,55.84
509,Ag2,8.1,6.684,56.51
510,Ag2,8.203,6.848,57.2
511,Ag2,8.308,7.019,57.9
512,Ag2,8.416,7.195,58.62
513,Ag2,8.527,7.379,59.36
514,Ag2,8.641,7.569,60.11
515,Ag2,8.757,7.767,60.89
516,Ag2,8.877,7.972,61.68
517,Ag2,9.001,8.186,62.5
518,Ag2,9.127,8.408,63.33
519,Ag2,9.257,8.639,64.19
520,Ag2,9.392,8.88,65.07
521,Ag2,9.53,9.131,65.98
522,Ag2,9.672,9.393,66.91
523,Ag2,9.819,9.665,67.87
524,Ag2,9.97,9.95,68.85
525,Ag2,10.13,10.25,69.86
526,Ag2,10.29,10.56,70.9
527,Ag2,10.45,10.88,71.97
528,Ag2,10.62,11.22,73.07
529,Ag2,10.8,11.58,74.21
530,Ag2,10.98,11.95,75.38
531,Ag2,11.17,12.34,76.58
532,Ag2,11.37,12.75,77.83
533,Ag2,11.57,13.18,79.11
534,Ag2,11.78,13.63,80.43
535,Ag2,12.23,14.6,83.21
536,Ag2,12.46,15.12,84.67
537,Ag2,12.71,15.67,86.18
538,Ag2,12.96,16.25,87.74
539,Ag2,13.23,16.87,89.36
540,Ag2,13.5,17.52,91.03
541,Ag2,13.79,18.2,92.77
542,Ag2,14.09,18.93,94.57
543,Ag2,14.4,19.7,96.43
544,Ag2,14.73,20.51,98.37
545,Ag2,15.07,21.37,100.4
546,Ag2,15.43,22.29,102.5
547,Ag2,15.81,23.27,104.6
548,Ag2,16.2,24.31,106.9
549,Ag2,16.62,25.41,109.3
550,Ag2,17.05,26.59,111.7
551,Ag2,17.51,27.85,114.3
552,Ag2,18.52,30.65,119.7
553,Ag2,19.06,32.2,122.6
554,Ag2,19.64,33.86,125.6
555,Ag2,20.25,35.65,128.8
556,Ag2,20.9,37.57,132.1
557,Ag2,21.6,39.65,135.6
558,Ag2,22.35,41.89,139.3
559,Ag2,23.14,44.31,143.1
560,Ag2,24.92,49.79,151.4
561,Ag3,0.3,1.646857286,0.972336834
562,Ag3,0.31,1.455629699,0.572501372
563,Ag3,0.32,0.920058628,0.331538655
564,Ag3,0.33,0.233797996,0.585441289
565,Ag3,0.34,0.103893124,1.052042671
566,Ag3,0.35,0.07599858,1.326866905
567,Ag3,0.36,0.063180003,1.533000885
568,Ag3,0.37,0.056279242,1.708000982
569,Ag3,0.38,0.050752406,1.858729622
570,Ag3,0.39,0.048660415,1.99546181
571,Ag3,0.4,0.04572895,2.122943979
572,Ag3,0.41,0.04451952,2.241825593
573,Ag3,0.42,0.043287376,2.357153749
574,Ag3,0.43,0.041992656,2.465312026
575,Ag3,0.44,0.041101491,2.573264334
576,Ag3,0.45,0.040932342,2.675756988
577,Ag3,0.46,0.040956736,2.776954709
578,Ag3,0.47,0.040727224,2.873753418
579,Ag3,0.48,0.040781493,2.972181544
580,Ag3,0.49,0.041249589,3.066333564
581,Ag3,0.5,0.041373355,3.159400537
582,Ag3,0.51,0.041602686,3.251112238
583,Ag3,0.52,0.04237275,3.342124392
584,Ag3,0.53,0.042204211,3.433188197
585,Ag3,0.54,0.043403286,3.522198723
586,Ag3,0.55,0.043817181,3.610113564
587,Ag3,0.56,0.044507429,3.69702325
588,Ag3,0.57,0.045973387,3.783928323
589,Ag3,0.58,0.046819894,3.870683674
590,Ag3,0.59,0.046840293,3.95716995
591,Ag3,0.6,0.047410447,4.041936139
592,Ag3,0.61,0.048985705,4.126305805
593,Ag3,0.62,0.049617793,4.208973975
594,Ag3,0.63,0.051101901,4.293088795
595,Ag3,0.64,0.051646932,4.376833034
596,Ag3,0.65,0.05091337,4.460223332
597,Ag3,0.66,0.053388535,4.543110205
598,Ag3,0.67,0.052475104,4.623716431
599,Ag3,0.68,0.054218627,4.705947265
600,Ag3,0.69,0.054429231,4.788419629
601,Ag3,0.7,0.054860386,4.869087149
602,Ag3,0.71,0.056538596,4.950777375
603,Ag3,0.72,0.057401233,5.034212441
604,Ag3,0.73,0.057733458,5.113152956
605,Ag3,0.74,0.059629401,5.195339803
606,Ag3,0.75,0.060113603,5.274430173
607,Ag3,0.76,0.059047193,5.356816832
608,Ag3,0.77,0.063824207,5.436181889
609,Ag3,0.78,0.063464686,5.512987191
610,Ag3,0.79,0.062217489,5.598827647
611,Ag3,0.8,0.063950702,5.678123783
612,Ag3,0.81,0.067473356,5.753307975
613,Ag3,0.82,0.067636134,5.836229489
614,Ag3,0.83,0.068189561,5.911315405
615,Ag3,0.84,0.067475107,5.99554442
616,Ag3,0.85,0.070135706,6.076505494
617,Ag3,0.86,0.070503234,6.15532052
618,Ag3,0.87,0.072455233,6.235643492
619,Ag3,0.88,0.073943622,6.313593878
620,Ag3,0.89,0.074927946,6.38980549
621,Ag3,0.9,0.074793597,6.469203512
622,Ag3,0.91,0.077646805,6.547597195
623,Ag3,0.92,0.07877958,6.627986589
624,Ag3,0.93,0.080106493,6.706073147
625,Ag3,0.94,0.080039752,6.784129005
626,Ag3,0.95,0.081098618,6.865098469
627,Ag3,0.96,0.083963945,6.942265476
628,Ag3,0.97,0.082327665,7.024370281
629,Ag3,0.98,0.08532286,7.10009014
630,Ag3,0.99,0.087779237,7.177095875
631,Ag3,1.0,0.088025428,7.254153877
632,Ag3,1.01,0.090501937,7.335202151
633,Ag3,1.02,0.091223005,7.410959562
634,Ag3,1.03,0.093163641,7.488436383
635,Ag3,1.04,0.090978009,7.571609934
636,Ag3,1.05,0.093069308,7.647526521
637,Ag3,1.06,0.087488108,7.738194503
638,Ag3,1.07,0.090085692,7.812561387
639,Ag3,1.08,0.091414911,7.896414166
640,Ag3,1.09,0.08952186,7.969003336
641,Ag3,1.1,0.087625115,8.055909518
642,Ag3,1.11,0.090461037,8.13167776
643,Ag3,1.12,0.094528298,8.207066199
644,Ag3,1.13,0.092749501,8.287376091
645,Ag3,1.14,0.095451077,8.352970185
646,Ag3,1.15,0.084359933,8.445952676
647,Ag3,1.16,0.095878288,8.521220138
648,Ag3,1.17,0.097053265,8.593219381
649,Ag3,1.18,0.09493293,8.675598669
650,Ag3,1.19,0.098324452,8.74909525
651,Ag3,1.2,0.094881447,8.829439534
652,Ag3,1.21,0.098216298,8.901272181
653,Ag3,1.22,0.098772673,8.982747689
654,Ag3,1.23,0.095285601,9.065378059
655,Ag3,1.24,0.10376706,9.1406656
656,Ag3,1.25,0.100172489,9.224588583
657,Ag3,1.26,0.105090726,9.306720371
658,Ag3,1.27,0.103513926,9.373618039
659,Ag3,1.28,0.106644981,9.450046198
660,Ag3,1.29,0.107642765,9.532921219
661,Ag3,1.3,0.112669175,9.60555539
662,Ag3,1.31,0.115274563,9.681233817
663,Ag3,1.32,0.110070769,9.760538693
664,Ag3,1.33,0.113725572,9.83991532
665,Ag3,1.34,0.110796441,9.919993743
666,Ag3,1.35,0.115127087,9.983749508
667,Ag3,1.36,0.121692797,10.07495951
668,Ag3,1.37,0.120000737,10.1436877
669,Ag3,1.38,0.127761842,10.21157789
670,Ag3,1.39,0.127391401,10.30564062
671,Ag3,1.4,0.129567338,10.37144097
672,Ag3,1.41,0.129532614,10.45450997
673,Ag3,1.42,0.139425972,10.54179489
674,Ag3,1.43,0.136689082,10.61313733
675,Ag3,1.44,0.1337676,10.69616257
676,Ag3,1.45,0.13753433,10.76749347
677,Ag3,1.46,0.136002449,10.84612819
678,Ag3,1.47,0.140018996,10.9453006
679,Ag3,1.48,0.145683795,10.99641868
680,Ag3,1.49,0.143029825,11.08649889
681,Ag3,1.5,0.140671824,11.16108366
682,Ag3,1.51,0.146851335,11.21746697
683,Ag3,1.52,0.145574468,11.30314965
684,Ag3,1.53,0.151117653,11.41064575
685,Ag3,1.54,0.159989508,11.45450115
686,Ag3,1.55,0.156488871,11.56695676
687,Ag3,1.56,0.163061728,11.59683531
688,Ag3,1.57,0.146280234,11.70390524
